#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	DS_BIOME_D138_output	DS_BIOME_D144_output	DS_BIOME_D185_output	DS_BIOME_D186_output	DS_BIOME_D187_output	DS_BIOME_D188_output	DS_BIOME_D207_output	DS_BIOME_D208_output	DS_BIOME_D61_output	DS_BIOME_NegLP_Control_output	Dsbiome_137_output	Dsbiome_138_output	Dsbiome_143_output	Dsbiome_D100_output	Dsbiome_D103_output	Dsbiome_D104_output	Dsbiome_D105_output	Dsbiome_D106_output	Dsbiome_D107_output	Dsbiome_D108_output	Dsbiome_D109_output	Dsbiome_D10_output	Dsbiome_D110_output	Dsbiome_D111_output	Dsbiome_D112_output	Dsbiome_D113_output	Dsbiome_D114_output	Dsbiome_D115_output	Dsbiome_D116_output	Dsbiome_D117_output	Dsbiome_D118_output	Dsbiome_D119_output	Dsbiome_D11_output	Dsbiome_D120_output	Dsbiome_D121_output	Dsbiome_D122_output	Dsbiome_D123_output	Dsbiome_D124_output	Dsbiome_D125_output	Dsbiome_D126_output	Dsbiome_D127_output	Dsbiome_D128_output	Dsbiome_D12_output	Dsbiome_D131_output	Dsbiome_D132_output	Dsbiome_D135_output	Dsbiome_D136_output	Dsbiome_D13_output	Dsbiome_D145_output	Dsbiome_D146_output	Dsbiome_D147_output	Dsbiome_D148_output	Dsbiome_D149_output	Dsbiome_D14_output	Dsbiome_D150_output	Dsbiome_D151_output	Dsbiome_D152_output	Dsbiome_D153_output	Dsbiome_D154_output	Dsbiome_D155_output	Dsbiome_D156_output	Dsbiome_D157_output	Dsbiome_D158_output	Dsbiome_D159_output	Dsbiome_D160_output	Dsbiome_D163_output	Dsbiome_D164_output	Dsbiome_D169_output	Dsbiome_D170_output	Dsbiome_D171_output	Dsbiome_D172_output	Dsbiome_D173_output	Dsbiome_D174_output	Dsbiome_D175_output	Dsbiome_D176_output	Dsbiome_D177_output	Dsbiome_D178_output	Dsbiome_D17_output	Dsbiome_D183_output	Dsbiome_D184_output	Dsbiome_D189_output	Dsbiome_D18_output	Dsbiome_D190_output	Dsbiome_D195_output	Dsbiome_D196_output	Dsbiome_D197_output	Dsbiome_D198_output	Dsbiome_D199_output	Dsbiome_D19_output	Dsbiome_D1_output	Dsbiome_D200_output	Dsbiome_D201_output	Dsbiome_D202_output	Dsbiome_D203_output	Dsbiome_D204_output	Dsbiome_D205_output	Dsbiome_D206_output	Dsbiome_D209_output	Dsbiome_D20_output	Dsbiome_D210_output	Dsbiome_D211_output	Dsbiome_D212_output	Dsbiome_D215_output	Dsbiome_D216_output	Dsbiome_D219_output	Dsbiome_D220_output	Dsbiome_D221_output	Dsbiome_D222_output	Dsbiome_D23_output	Dsbiome_D24_output	Dsbiome_D25_output	Dsbiome_D26_output	Dsbiome_D27_output	Dsbiome_D28_output	Dsbiome_D29_output	Dsbiome_D2_output	Dsbiome_D30_output	Dsbiome_D31_output	Dsbiome_D32_output	Dsbiome_D33_output	Dsbiome_D34_output	Dsbiome_D35_output	Dsbiome_D36_output	Dsbiome_D37_output	Dsbiome_D38_output	Dsbiome_D39_output	Dsbiome_D3_output	Dsbiome_D40_output	Dsbiome_D41_output	Dsbiome_D42_output	Dsbiome_D45_output	Dsbiome_D46_output	Dsbiome_D47_output	Dsbiome_D48_output	Dsbiome_D49_output	Dsbiome_D4_output	Dsbiome_D50_output	Dsbiome_D51_output	Dsbiome_D52_output	Dsbiome_D53_output	Dsbiome_D54_output	Dsbiome_D55_output	Dsbiome_D56_output	Dsbiome_D57_output	Dsbiome_D58_output	Dsbiome_D59_output	Dsbiome_D5_output	Dsbiome_D60_output	Dsbiome_D61_output	Dsbiome_D62_output	Dsbiome_D63_output	Dsbiome_D64_output	Dsbiome_D67_output	Dsbiome_D68_output	Dsbiome_D6_output	Dsbiome_D71_output	Dsbiome_D72_output	Dsbiome_D75_output	Dsbiome_D76_output	Dsbiome_D77_output	Dsbiome_D78_output	Dsbiome_D79_output	Dsbiome_D7_output	Dsbiome_D80_output	Dsbiome_D81_output	Dsbiome_D82_output	Dsbiome_D85_output	Dsbiome_D86_output	Dsbiome_D8_output	Dsbiome_D91_output	Dsbiome_D92_output	Dsbiome_D93_output	Dsbiome_D94_output	Dsbiome_D95_output	Dsbiome_D96_output	Dsbiome_D99_output	Dsbiome_D9_output	Dsbiome_NegC_1_output
k__Bacteria|p__Firmicutes|c__CFGB79237|o__OFGB79237|f__FGB79237|g__GGB9061|s__GGB9061_SGB13979|t__SGB13979	0.18966	0.0	0.02182	0.0	0.25738	0.36144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25894	0.0	0.0	0.0	0.0	0.0	0.0	0.13682	0.0	0.38506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23101	0.0	0.0	0.0	0.0	0.0	0.25126	0.0	0.0	0.10914	0.21818	0.0	0.0	0.0	0.0	0.13507	1.74501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16448	0.17401	3.00758	0.10591	0.14467	0.0	0.12856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49362	0.0	0.0	0.0	0.0	0.0	0.14285	0.13008	0.0	0.00877	0.0	0.2907	0.51782	0.03558	0.17061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07915	0.29349	0.01664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.77368	1.01059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17849	0.36329	0.53493	0.0	0.09452	0.0	0.24796	0.04283	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503|g__GGB9790|s__GGB9790_SGB15413|t__SGB15413	0.16634	0.0	0.10741	0.11615	0.18802	0.19177	0.00646	0.0	0.0	0.0	0.0	0.0	0.0	0.17189	0.0	0.0	0.0	0.0	0.09569	0.25615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55981	0.06789	0.0	0.00239	0.0	0.0	0.0	0.0721	0.0	0.0	0.07444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05288	0.0	0.0172	0.00925	0.09412	0.00334	0.08199	0.0	0.13997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08701	0.0	0.0	0.00663	0.0	0.0	0.0	0.0	0.0	0.01642	0.0	0.03923	0.00966	0.0	0.68369	0.08477	0.00678	0.0	0.06406	0.08494	0.12089	0.1874	0.56537	0.0	0.0	0.00329	0.02857	0.0	0.0	0.25533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07486	0.0	0.0	0.0	0.0	0.0	0.0	0.1063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0549	0.0	0.0	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04183	0.0	0.0	0.11271	0.00806	0.0	0.0	0.07096	0.04126	0.02721	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346	0.16299	0.0	5.14525	0.88137	0.55677	0.11633	2.63345	0.82193	0.76998	0.0	2.4278	0.0	0.8352	0.44457	1.08459	0.46335	5.01574	0.0	5.24658	1.57299	0.0	0.03865	1.23778	11.26019	4.58516	1.86359	0.9256	0.29548	0.0	0.0	25.69918	0.56899	0.0	4.43055	3.84242	0.16092	0.0	0.0	0.10061	1.17427	1.43359	2.15977	0.53061	0.36397	0.95193	2.0133	0.0	0.0	0.63258	0.8873	2.00781	0.38717	4.25759	0.55175	1.56525	5.77713	0.48098	0.50891	1.58169	1.05622	0.0	0.19046	0.12268	0.13895	0.0	0.42124	1.35835	1.05878	1.10138	2.03114	3.57947	0.08241	0.27691	0.2351	0.34597	2.66967	0.50283	0.0	1.38785	0.25045	3.17621	0.0	4.03771	0.97054	0.39199	1.32653	0.0	0.20999	2.5673	0.76267	1.18936	0.37155	0.20619	0.7873	0.03659	1.35104	0.0	1.47586	0.96002	0.49038	0.16245	0.15367	0.19371	0.0	4.26681	0.78821	0.34874	0.05975	0.33876	0.7992	0.0	0.86996	0.52522	1.03475	1.48523	0.34439	0.22139	3.07755	0.8002	0.16905	0.08159	0.0	0.0	0.66742	0.0	2.79705	1.65249	0.0	0.39945	0.1463	1.40078	0.37826	0.0	2.28264	0.0	0.00465	0.0	1.89224	1.12094	2.05267	0.0	1.09425	0.0	0.0	0.0	1.82486	1.02247	0.46284	0.0	0.26509	0.31432	0.86094	1.30239	0.0	0.0	2.08004	1.00528	0.96164	0.44492	1.48867	0.57204	0.76594	0.71132	3.87898	0.0	0.06117	0.37783	0.23882	0.472	1.25143	1.68148	0.5065	0.49214	1.76442	0.90326	2.35492	5.25928	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106|t__SGB15106	0.16153	0.0	1.78641	0.0	1.02103	17.22848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90112	0.0	5.3276	1.32642	0.0	0.0287	0.0	0.0	0.0	0.0	0.0	7.74573	0.0	1.0578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58581	2.34709	2.39203	0.20238	0.0	0.0	2.92197	0.0	0.0	0.0	0.38188	1.14579	0.0	1.35541	0.0	10.8706	0.02005	2.90832	0.0	0.53747	1.11191	0.0	0.0	0.0	0.0	0.0	0.0	0.03673	0.21243	7.31795	3.00235	0.0	2.57281	0.25479	0.95931	0.0	1.41631	0.0	18.40035	0.0	0.0	0.0	0.0	0.0	0.0	2.01041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.42121	9.26982	0.0	0.0	2.4446	0.0	0.0	0.00572	0.11499	1.14423	0.0	1.51826	0.0	0.71311	14.03063	0.43934	0.70762	0.0	1.62803	5.22762	1.55139	0.0	7.47974	1.98937	0.0	4.49854	0.0	13.01335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20114	0.30141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56467	0.0	0.47711	0.0	0.0	2.64943	0.0	11.88971	0.87965	4.301	0.0	0.0	0.0	0.0	0.0	0.0	0.4717	0.0	0.0	4.2524	0.25769	0.5963	3.01351	0.67051	5.96311	0.0	4.17109	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__SGB2296	0.16106	0.0	0.0	0.59024	0.05354	0.06447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24387	0.0	0.2765	0.44458	0.0	0.0	0.0	0.20914	0.0	0.0	0.0	0.30403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10939	0.0	0.0	0.0	0.05518	0.0	0.0	0.2629	0.13806	0.1623	0.0	0.0	0.0	0.07958	0.0	0.0	0.09642	0.0	0.28695	1.40326	0.0	0.0	0.06839	0.0	0.0	0.0	0.0	0.0	0.05253	0.0	0.0	0.0	0.1228	0.0	0.48194	0.0	0.19529	0.12006	0.0	0.0	0.0	0.0	0.0	0.43128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04432	0.0	0.0	1.34977	0.09342	0.23815	0.34516	0.47875	0.09063	0.05279	0.16163	0.0	0.24052	0.07207	0.0	0.0	0.0	0.53965	0.01845	0.03653	0.21471	1.01316	0.0	0.0	0.0	0.12535	0.0	0.0	0.0	0.0	0.0	0.0	0.57389	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.25252	0.64377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23561	0.0	0.0	0.21058	0.0	0.0	0.88713	0.0	0.0	0.0	0.0	0.49096	0.0	1.06506	0.41972	0.0	0.04311	0.89125	0.0	0.0	0.0	0.0	0.18082	0.21535	0.26591	0.69148	0.0	0.0	0.0	0.24258	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum|t__SGB4705	0.15659	0.12885	0.08556	0.18398	0.33377	0.00314	0.80586	0.68363	0.17319	0.0	0.86259	0.0	0.67069	0.73602	0.27189	0.10968	0.49266	0.0	0.14668	0.10737	0.0	0.44752	0.11349	0.20053	0.3767	0.40859	0.1763	0.17076	0.0	0.0	0.0	0.01823	0.15852	0.0	0.63313	0.16408	0.0	0.28125	0.0349	0.25453	0.64018	0.30176	0.34714	1.87273	0.32952	0.56246	2.85264	0.0	0.23635	0.19658	0.82266	0.41195	0.15026	0.07834	0.04595	0.11423	0.0	0.34271	0.56133	0.33655	0.0	0.53464	0.20481	0.04673	0.0	0.21234	0.38888	0.0	0.08354	0.16267	0.45434	0.10252	0.17558	0.34564	0.14299	0.28665	0.41773	0.30127	0.01618	0.0	0.96328	1.26164	0.97887	0.13714	0.45767	0.27407	0.79106	0.11321	1.42686	0.4654	0.9895	0.15075	0.04713	0.08241	0.33128	0.1629	0.30847	0.0	0.83928	0.0	0.0	0.12521	0.4414	0.08914	0.07839	0.23486	0.37646	0.0	0.03742	0.18609	0.18315	0.75651	0.17653	0.02539	0.54198	0.0	0.8008	0.39026	0.34805	0.01732	0.30205	0.96664	0.0	0.22364	0.01144	0.19025	2.00581	0.0	1.14081	0.0	0.16723	0.69159	0.2647	0.38231	0.0	0.87688	0.0	0.07286	0.04604	0.10747	0.18301	1.61377	0.0	1.03926	0.0	0.0	0.10008	0.16449	0.0	0.0	0.03338	0.27078	0.46053	0.71478	0.85309	0.14031	2.02662	0.12686	0.11619	0.11977	0.17056	0.06522	0.2342	0.84467	0.27072	0.0	1.02158	0.41451	0.71576	0.05462	0.13113	0.30668	0.17629	0.06772	0.26127	0.38302	0.35891	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans|t__SGB15271	0.13897	0.43676	0.02613	0.25302	0.05661	0.2727	0.05725	0.00621	0.28569	0.0	0.01997	0.0	0.0	0.39262	0.0	0.0	1.5454	0.94776	0.45524	0.19399	0.0	0.22947	0.0	0.15819	0.25597	0.09919	0.24178	0.1533	0.0	0.25417	1.76797	0.02524	0.35419	0.0	0.0	0.19719	0.08031	17.64183	0.27673	0.54134	0.00068	0.0	0.2186	0.08744	0.01992	0.22009	0.0	0.02206	0.23119	0.00434	0.04494	0.00827	0.06585	0.4651	0.7889	0.18785	0.82315	0.07297	0.01739	0.23854	6.08122	0.19455	0.21696	0.0416	0.00638	0.0	0.00788	0.0	0.0	0.00451	0.11664	0.00179	0.00609	0.00217	0.03868	0.0	0.09437	0.67653	0.12607	0.0162	0.07295	0.25639	0.07979	0.18953	0.04827	0.1441	0.11184	0.29287	0.06926	0.27347	0.32092	0.13803	0.0	0.06365	0.1729	0.062	0.0	0.20815	0.03208	0.52255	0.16237	0.06748	0.14699	0.32006	0.0	0.23069	0.01652	0.22836	0.40124	0.0136	0.08085	0.03501	0.43708	0.0	0.16008	0.13675	0.08857	0.2304	0.02521	0.0	0.11795	0.79112	0.19315	0.07108	2.96041	0.01998	0.02024	13.86117	0.10507	0.45762	0.05014	0.09675	0.08381	0.06147	0.12849	0.65367	1.75062	0.02452	0.0187	0.12442	0.08579	0.05259	0.20168	0.0393	0.0	0.26665	0.00427	1.13239	0.0	4.79706	0.0	0.74099	0.18532	0.10999	0.51001	0.01683	1.42609	0.04076	0.0	0.05636	0.29939	0.16005	0.00672	0.05073	0.06671	0.01327	0.42549	4.19519	0.15542	0.04064	0.02609	0.08004	0.23195	0.20008	0.01759	1.5522	0.11518	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_ihumii|t__SGB2328	0.13469	0.0	0.0	0.0	0.2576	1.55744	0.8335	0.0	1.61426	0.0	0.89233	0.0	0.0	0.0	0.0	0.0	0.43736	0.0	0.77486	0.0	0.0	0.01028	0.7437	0.34205	0.23814	0.34567	0.0	0.0	0.0	0.47013	0.0	0.0	0.0	0.0	0.0	1.07501	0.0	0.0	0.42247	0.20153	0.23175	0.63729	0.0	0.2112	0.0	0.0	0.0	0.0	0.03333	1.06333	0.21223	0.34929	0.42274	0.11658	2.23378	0.0	0.0	0.0	0.0	0.57991	0.0	0.0	0.0	0.10446	0.0	0.0	0.0	0.44351	0.51737	0.00821	0.31303	0.0	0.06944	0.0031	0.0	0.02671	0.25073	0.0	0.32652	0.57089	0.0	0.0	0.0	1.05168	0.31457	0.0	0.53916	0.0	0.07474	0.87843	0.0	0.72217	0.0	0.0	0.0	0.26391	0.53424	1.03363	0.30488	0.0	0.12872	0.04706	0.12026	0.0	0.0	0.0	0.17688	1.5008	0.33425	0.41079	0.31367	0.31698	0.0	0.41055	0.30474	0.14432	0.0	1.38491	0.91314	0.00466	1.22386	0.0	0.0	0.3783	0.42199	0.4374	0.0	0.0	0.0	0.0	2.05578	1.23124	0.0396	0.27404	0.0	0.0	0.0	0.42473	1.8645	0.0	0.0	0.35247	0.0	0.0	0.0	0.0	0.0	0.90875	0.0	0.0	0.62347	0.0	0.0	0.17472	0.0	0.0	0.0	0.01045	0.0	0.0229	3.24781	0.83884	0.0	0.0	0.0	0.0	0.0735	0.19225	0.0	0.0	0.44736	0.04074	0.0	1.41799	0.02687	0.0	0.01346	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4285	0.13343	0.01731	0.12603	0.10989	0.09973	0.07299	0.05315	0.0034	0.0	0.0	0.03867	0.0	0.0	0.15415	0.03535	0.01115	0.0	0.18466	0.01251	0.11776	0.0	0.02437	0.05306	0.0	0.09219	0.0	0.46869	0.20114	0.90784	0.0	0.0	0.00218	0.0	0.07333	0.0	0.17889	0.28004	0.38195	0.0	0.0894	0.35597	0.45855	0.8854	0.0	0.00374	1.24419	0.36095	0.0	0.0	0.09802	1.11432	0.02065	0.35439	0.0	0.0	0.07355	0.0	0.0	0.4196	0.23422	0.0	0.34121	1.14587	0.0	0.0	0.01033	0.28163	0.09857	0.84515	0.0	1.53292	0.07202	0.06204	0.0	1.88542	0.0	0.0	0.64166	0.0	0.78862	0.30539	2.25916	0.85808	0.08173	0.34837	0.0	0.05457	0.32874	0.0	0.14206	0.30027	0.0	0.56208	0.01889	5.2322	0.17719	0.58136	1.43951	0.0	0.90577	0.1912	0.18071	0.0	0.0144	0.2092	0.19328	0.18909	0.14059	1.8796	0.95361	0.0	0.0	0.64993	0.0	0.0	0.13201	0.13076	0.35542	0.5085	0.08917	0.8223	0.0	0.5565	0.73004	0.0679	0.0	0.0	0.0	0.0	0.25116	1.12097	0.43722	0.17537	0.00465	0.03645	0.0	5.22407	0.0	0.0	0.025	0.16188	0.0	0.32305	0.09168	0.30113	0.0	0.13633	0.10347	0.0	0.46224	0.0	0.0	0.09703	0.0	0.4626	0.10276	1.36289	0.07054	0.08895	0.0	0.02177	0.1795	0.01185	0.0	0.0	0.00369	0.00088	0.28446	0.40234	0.0	0.0	0.04677	0.10961	0.04905	0.0	0.04279	0.20284	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_SGB15077|t__SGB15077	0.13058	0.0	0.0	0.00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52723	0.0	0.0	0.0	0.0	0.71793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01203	0.0	0.0	0.0	0.0	0.0	0.00599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.12781	0.0	0.00064	0.03562	0.07915	0.0	0.01447	0.0	0.05508	0.0	0.0	0.0	0.0	0.14813	0.29149	0.0667	0.0	0.0	0.0294	0.0	31.77476	0.05303	0.0	0.0	0.0	0.0	1.82197	0.216	1.17301	0.09149	0.56119	0.0	0.02827	0.0	0.76074	0.0	1.52991	0.60865	0.12399	0.0	0.0	0.0	0.06567	0.0	0.0	0.0	0.08154	0.09488	0.29238	0.03743	0.0	0.0	0.0	0.01719	0.0	0.0	0.94062	0.0	1.16156	0.0	21.43226	0.3864	20.60517	0.11843	0.0	0.13138	0.0	0.0	0.42682	0.0	0.02218	0.0	0.0	0.14772	0.0	0.4025	0.33808	0.04047	0.00757	0.04667	0.07251	0.0	0.04755	0.10707	0.0	0.0	0.0	0.01584	0.0	0.0	0.18684	0.0	0.0	0.0	0.0	0.0	0.10084	0.13537	0.0	0.0	0.16348	0.07879	0.01842	0.0	0.0	0.02633	0.06246	0.0	0.0	0.0	0.01036	0.0789	0.06224	0.0	0.0	0.0	0.01576	0.0	0.0	0.0	0.0	0.05016	0.08219	0.06794	1.31358	0.44539	0.0	3.18407	0.02792	0.0	0.0	0.11536	0.1017	0.0	0.0	0.0	1.67106	0.0	0.0	0.0	0.0	0.07558	2.02586	0.01403	1.08236	0.0	0.0	0.16083	0.0	0.24532	0.0	0.0	0.0	0.0	2.047	0.0	1.22715	0.0	0.0	0.0	0.0	0.09354	0.0	0.0	0.0	0.1344	0.0	0.0	0.00578	0.0201	0.0	0.0	0.07385	0.00264	0.0	1.1037	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis|t__SGB9202	0.12388	0.0	0.0	0.0	0.16607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12752	0.08395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21577	0.03086	0.0	0.10301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00407	0.0	0.0	0.0	0.07208	0.0	0.05143	0.0	0.0	0.0	0.28401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02409	0.0	0.0	0.0	0.0	0.01471	0.04729	0.0	0.0	0.0	0.0	0.09721	0.0	0.10456	0.0	0.0	0.0	0.0	0.0	0.0	0.11482	0.0	0.02522	0.0	0.0	0.0	0.0	0.0	0.01342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272|f__FGB9272|g__GGB9296|s__GGB9296_SGB14253|t__SGB14253	0.12277	0.0	0.18554	0.17892	0.20879	0.21527	0.27391	0.0	0.09442	0.0	0.25249	0.0	0.0	0.07296	0.0	0.0	0.0	0.0	0.01775	0.00675	0.0	0.0	0.05343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1123	0.03877	0.21542	0.0	0.0	0.07974	0.37102	0.0	0.0	0.0	0.09407	0.10562	0.00329	0.0	0.0	0.0	0.0085	0.0	0.0	0.0	0.27189	0.0	0.0	0.0	0.13154	0.0	0.0	0.0	0.09081	0.14615	0.0	0.20155	0.16041	0.291	0.0	0.0	0.0	0.0	0.0	0.31968	0.0	0.0	0.0	0.0	0.11899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03519	0.0	0.06754	0.18449	0.0	0.0	0.11618	0.05207	0.0	0.23173	0.23801	0.21597	0.21718	0.0	0.35405	0.0	0.0	0.0	0.0	0.0	0.03481	0.08251	0.02904	0.0	0.0	0.05355	0.0	0.0	0.02314	0.0	0.0	0.0	0.0	0.0	0.0	0.24799	0.0	0.0	0.0	0.0	0.0	0.0	0.04588	0.0	0.0	0.0	0.32211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05779	0.0	0.0	0.0	0.0	0.0	0.0	0.03028	0.17944	0.05914	0.0	0.02086	0.0	0.0	0.0	0.0	0.0	0.02433	0.0	0.0	0.0	0.03087	0.0	0.0	0.03335	0.0	0.00059	0.0
